PlayerID,PlayerFirstName,PlayerLastName,Positon,TeamID
413,Norman,Powell,SG,28
414,Alex,Poythress,PF,12
415,Jacob,Pullen,PG,23
416,Rodney,Purvis,SG,22
417,Zhou,Qi,C,11
418,Tim,Quarterman,SG,11
419,Ivan,Rabb,PF,15
42,DeAndre,Bembry,SF,1
420,Julius,Randle,C,14
421,Zach,Randolph,PF,26
422,Xavier,Rathan-Mayes,SG,15
423,J.J.,Redick,SG,23
424,Davon,Reed,SG,24
425,Willie,Reed,C,9
426,Josh,Richardson,SF,16
427,Malachi,Richardson,SG,26
428,Austin,Rivers,SG,13
429,Andre,Roberson,SG,21
43,Dragan,Bender,PF,24
430,Devin,Robinson,SF,30
431,Glenn,Robinson,SF,12
432,Rajon,Rondo,PG,19
433,Derrick,Rose,PG,6
434,Terrence,Ross,SG,22
435,Terry,Rozier,PG,2
436,Ricky,Rubio,PG,29
437,DAngelo,Russell,PG,3
438,Domantas,Sabonis,C,12
439,JaKarr,Sampson,SF,26
44,Davis,Bertans,PF,27
440,Dario,Saric,PF,23
441,Tomas,Satoransky,SG,30
442,Dennis,Schroder,PG,1
443,Mike,Scott,PF,30
444,Thabo,Sefolosha,SF,29
445,Wayne,Selden,SG,15
446,Ramon,Sessions,PG,20
447,Iman,Shumpert,SG,6
448,Pascal,Siakam,PF,28
449,Xavier,Silas,SG,2
45,Patrick,Beverley,SG,13
450,Ben,Simmons,PG,23
451,Jonathon,Simmons,SG,22
452,Kobi,Simmons,PG,15
453,Kyle,Singler,SF,21
454,Marcus,Smart,SG,2
455,Dennis,Smith,PG,7
456,Ish,Smith,PG,9
457,J.R.,Smith,SG,6
458,Jason,Smith,C,30
459,Josh,Smith,PF,19
46,Khem,Birch,C,22
460,Tony,Snell,SG,17
461,Marreese,Speights,C,22
462,Nik,Stauskas,SG,3
463,Lance,Stephenson,SG,12
464,David,Stockton,PG,29
465,Julyan,Stone,SG,5
466,Edmond,Sumner,PG,12
467,Caleb,Swanigan,PF,25
468,Jayson,Tatum,SF,2
469,Isaiah,Taylor,PG,1
47,Jabari,Bird,SG,2
470,Jeff,Teague,PG,18
471,Marquis,Teague,PG,15
472,Mirza,Teletovic,PF,17
473,Garrett,Temple,SG,26
474,Milos,Teodosic,PG,13
475,Jason,Terry,SG,17
476,Daniel,Theis,C,2
477,Isaiah,Thomas,PG,6
478,Lance,Thomas,PF,20
479,Klay,Thompson,SG,10
48,Bismack,Biyombo,C,22
480,Tristan,Thompson,C,6
481,Sindarius,Thornwell,SG,13
482,Anthony,Tolliver,PF,9
483,Karl-Anthony,Towns,C,18
484,P.J.,Tucker,PF,11
485,Evan,Turner,SF,25
486,Myles,Turner,C,12
487,Ekpe,Udoh,C,29
488,Tyler,Ulis,PG,24
489,Jonas,Valanciunas,C,28
49,Nemanja,Bjelica,PF,18
490,Denzel,Valentine,SG,4
491,Fred,VanVleet,PG,28
492,Rashad,Vaughn,SG,3
493,Noah,Vonleh,PF,4
494,Nikola,Vucevic,C,22
495,Dwyane,Wade,SG,6
496,Dion,Waiters,SG,16
497,Kemba,Walker,PG,5
498,John,Wall,PG,30
499,Tyrone,Wallace,PG,13
5,Arron,Afflalo,SG,22
50,Tarik,Black,C,11
500,Taurean,Waller-Prince,SF,1
501,Derrick,Walton,PG,16
502,Jameel,Warney,PF,7
503,T.J.,Warren,SF,24
504,Travis,Wear,SF,14
505,James,Webb,SF,3
506,Briante,Weber,PG,11
507,David,West,C,10
508,Russell,Westbrook,PG,21
509,Andrew,White,SF,1
51,Antonio,Blakeney,SG,4
510,Derrick,White,PG,27
511,Okaro,White,PF,16
512,Isaiah,Whitehead,PG,3
513,Hassan,Whiteside,C,16
514,Andrew,Wiggins,SF,18
515,Jacob,Wiley,PF,3
516,Damien,Wilkins,SF,12
517,Alan,Williams,PF,24
518,C.J.,Williams,SG,13
519,Derrick,Williams,PF,14
52,Eric,Bledsoe,PG,17
520,Lou,Williams,SG,13
521,Marvin,Williams,PF,5
522,Matt,Williams,SG,16
523,Troy,Williams,SF,11
524,D.J.,Wilson,PF,17
525,Jamil,Wilson,SF,13
526,Justise,Winslow,PF,16
527,Jeff,Withey,C,7
528,Nate,Wolters,PG,29
529,Brandan,Wright,PF,11
53,Vander,Blue,SG,14
530,Delon,Wright,PG,28
531,Guerschon,Yabusele,PF,2
532,James,Young,SG,23
533,Joe,Young,PG,12
534,Nick,Young,SG,10
535,Thaddeus,Young,PF,12
536,Cody,Zeller,C,5
537,Tyler,Zeller,C,3
538,Paul,Zipser,SF,4
539,Ante,Zizic,C,6
54,Bogdan,Bogdanovic,SG,26
540,Ivica,Zubac,C,14
55,Bojan,Bogdanovic,SF,12
56,Andrew,Bogut,C,14
57,Joel,Bolomboy,PF,17
58,Devin,Booker,SG,24
59,Trevor,Booker,PF,3
6,Cole,Aldrich,C,18
60,Chris,Boucher,PF,10
61,Avery,Bradley,SG,9
62,Tony,Bradley,C,29
63,Corey,Brewer,SF,14
64,Malcolm,Brogdon,PG,17
65,Aaron,Brooks,PG,18
66,Dillon,Brooks,SF,15
67,MarShon,Brooks,SG,15
68,Anthony,Brown,SF,18
69,Bobby,Brown,PG,11
7,LaMarcus,Aldridge,C,27
70,Jaylen,Brown,SG,2
71,Lorenzo,Brown,PG,28
72,Markel,Brown,SG,11
73,Sterling,Brown,SG,17
74,Nicolas,Brussino,SF,1
75,Thomas,Bryant,C,14
76,Reggie,Bullock,SF,9
77,Trey,Burke,PG,20
78,Alec,Burks,SG,29
79,Jimmy,Butler,SG,18
8,Jarrett,Allen,C,3
80,Dwight,Buycks,PG,9
81,Bruno,Caboclo,SF,26
82,Jose,Calderon,PG,6
83,Kentavious,Caldwell-Pope,SG,14
84,Isaiah,Canaan,SG,11
85,Clint,Capela,C,11
86,DeMarre,Carroll,PF,3
87,Vince,Carter,SF,26
88,Michael,Carter-Williams,PG,5
89,Alex,Caruso,PG,14
9,Kadeem,Allen,PG,2
90,Omri,Casspi,SF,10
91,Willie,Cauley-Stein,C,26
92,Tyler,Cavanaugh,PF,1
93,Mario,Chalmers,PG,15
94,Tyson,Chandler,C,24
95,Wilson,Chandler,SF,8
96,Marquese,Chriss,PF,24
97,Ian,Clark,SG,19
98,Jordan,Clarkson,SG,6
99,Gian,Clavell,SG,7
