ID,Firstname,Lastname,Position,Team,Twitter Handle,Twitter Followers,Instagram Handle,Instagram Followers
418,Tim,Quarterman,SG,11,TimQuarterman55,712,,
419,Ivan,Rabb,PF,15,YoungIvee,18.4k,young_ivee,30.3k
42,DeAndre,Bembry,SF,1,fearthefro95,8221,fearthefro95,30.6k
420,Julius,Randle,C,14,J30_RANDLE,433k,juliusrandle30,796.2k
421,Zach,Randolph,PF,26,MacBo50,192k,macbo50,157.1k
422,Xavier,Rathan-Mayes,SG,15,RathanMayes,521,xrm22,87.7k
423,J.J.,Redick,SG,23,,,,
424,Davon,Reed,SG,24,ClutchREED_5,4651,clutchreed_5,24.9k
425,Willie,Reed,C,9,thejumper_2,460,showtimereed33,27.1k
426,Josh,Richardson,SF,16,J_Rich1,64k,jrich_0,227k
427,Malachi,Richardson,SG,26,KingMali23,17.8k,kingmali23,53.3k
428,Austin,Rivers,SG,13,AustinRivers25,296k,austinjrivers,347.9k
429,Andre,Roberson,SG,21,FlyDre21,62.4k,andrelafelle7,204
43,Dragan,Bender,PF,24,DBender03,9083,draganbender35,32.3k
430,Devin,Robinson,SF,30,drob7nson,4648,devinrob1nson,29.7k
