GamesPlayed,PPG,APG,RPG,MPG,PER,FG,FT,PlayerID
46,10.9,1.1,5.5,17.4,0.535,4,1.6,235
82,11.5,4.8,4.2,17.6,0.609,4.1,0.8,236
2,12,3.5,3,17,0.618,4,1.5,237
59,16.1,3.9,5.3,25.8,0.497,6.1,3.3,238
60,24.4,5.1,3.8,36.2,0.568,8.9,3.9,239
4,1,0.3,2.5,3,0.333,0.5,0,23
27,5.4,0.7,3.7,10.8,0.434,2,0.7,240
62,3.7,0.9,2.2,7,0.447,1.5,0.5,241
62,7.5,5.6,3.1,14.2,0.455,3,1,242
1,8,1,3,18,0.389,3,1,243
12,0.7,0.4,0.9,2.4,0.286,0.3,0,244
77,13.1,1.5,4.6,24.2,0.448,5.1,2.3,245
68,6.7,1.1,2.8,12.4,0.51,2.7,0.4,246
45,14.6,5.3,2.8,25.6,0.471,5.5,2.5,247
82,27.5,9.1,8.6,38.6,0.59,10.5,4.7,248
4,1,1.5,0.3,4.6,0.222,0.5,0,249
75,10.2,3.8,2.1,14.4,0.557,3.3,2.2,24
36,7,0.8,4,11.6,0.534,3.1,0.8,250
20,1.5,0.8,0.9,2.8,0.481,0.6,0.2,251
14,5.2,3.1,2.2,10.2,0.438,1.9,0.7,252
74,5.8,0.6,3.3,9.2,0.562,2.1,0.6,253
74,4.6,1.6,4.5,7,0.558,1.9,0.7,254
9,1.8,0.1,1.4,2.4,0.636,0.8,0.2,255
31,1.8,0.3,1.1,2.6,0.564,0.7,0.4,256
73,10.8,3.8,4.9,16.8,0.55,4.2,1.5,257
23,6,1.7,2.8,11.6,0.444,2.2,0.9,258
4,5.5,1.8,2.8,10.6,0.524,2.3,0,259
37,6.1,0.7,2.2,9,0.622,2.2,0.5,25
69,8.7,1.6,3.7,16.2,0.435,3,1.6,260
72,11.7,2.3,3.4,19.8,0.518,4.3,1.5,261
74,5.4,0.8,2.9,10,0.489,2,0.6,262
75,18.5,6.1,10.7,27,0.554,6.7,3.5,263
15,1.7,0.1,0.9,3,0.5,0.7,0.2,264
14,3.7,0.4,2.4,7,0.418,1.4,0.8,265
12,5.8,0.3,2.9,10.6,0.461,2.1,0.8,266
82,5.1,2.8,1.6,8,0.526,1.8,0.9,267
77,12,1.5,15.2,15,0.645,4.8,2.4,268
82,7.9,3.2,3.2,14.8,0.479,3.1,0.9,269
53,3.3,0.7,2.3,7.2,0.404,1.4,0.4,26
79,11.1,1.6,3.6,18.2,0.501,3.9,2,270
71,14.1,1.5,11,20,0.592,5.9,2.2,271
73,7.6,1.7,2.4,12.8,0.53,2.8,0.9,272
74,9.2,1,4.1,15.2,0.504,3.8,1.6,273
16,4.9,0.9,2.2,10.8,0.351,1.6,1.1,274
72,5.4,0.7,3.3,8.6,0.553,2.1,0.6,275
14,1.6,0.3,0.8,4,0.375,0.6,0.1,276
20,6.7,1.3,3.2,12.6,0.504,2.5,0.4,277
73,9.2,1.2,2.3,13.2,0.628,3,0.9,278
71,6.7,1.2,6.6,11,0.571,3.1,0.5,279
29,2.4,1.6,1,4,0.432,0.7,0.7,27
77,16.1,1.8,6.3,27,0.527,6.1,1.9,280
1,0,0,0,4,0,0,0,281
60,8.7,1.2,4.8,15.2,0.467,3.4,1.6,282
80,12.9,2.3,4.1,20.8,0.513,4.8,2.2,283
54,4.3,1.8,1.7,8.2,0.454,1.6,0.6,284
55,4.1,0.7,3.1,7,0.516,1.8,0.5,285
24,16.7,3,3.9,29.6,0.442,5.7,3.6,286
35,1,0.3,0.5,2.6,0.34,0.4,0.1,287
53,2.9,0.2,1.5,5.2,0.537,1.2,0.2,288
76,12,2.4,2.9,19.8,0.529,4.5,1.5,289
7,5.4,0.7,1.1,6,0.762,2,0.9,28
15,10.7,1.9,4.7,20.2,0.457,4.1,1.5,290
5,3.4,1,0.4,6.4,0.469,1.4,0.4,291
69,8.5,1.2,7.5,11,0.567,3.1,2.3,292
9,16.2,2.3,4.7,24.6,0.518,5.8,3.4,293
33,3.4,0.5,2.1,4.8,0.66,1.4,0.3,294
8,5.4,0.6,4,9,0.417,1.9,1.6,295
71,12.1,4.2,3.7,20.8,0.493,4.5,1.9,296
31,1.8,0.9,1.6,4.2,0.423,0.7,0.1,297
73,26.9,6.6,4.5,38.8,0.519,8.5,6.8,298
1,18,4,0,24,0.458,5,7,299
52,10.2,7.2,6.9,21.6,0.44,3.9,0.6,29
70,5.9,0.8,3.7,10.4,0.496,1.9,0.7,2
71,5.5,2,1.8,9.6,0.501,2.4,0.7,300
66,4,0.6,3.3,5.8,0.583,1.7,0.6,301
74,13,1.7,4,21.4,0.536,5,1.5,302
64,11.8,1.9,4.5,20.2,0.533,5.3,1.1,303
59,17.6,1.7,9.3,24.8,0.552,5.7,4,304
78,16.2,6.9,5.6,24.2,0.553,5.2,2.9,305
52,5.8,1,1.4,10.2,0.474,1.9,0.9,306
1,0,0,0,0,0,0,0,307
73,9.9,1.2,4.8,15,0.566,3.7,1.4,308
69,6.9,3.9,2.4,12,0.488,2.6,1,309
69,11.6,6.3,2.9,20,0.522,4.4,1.2,30
18,2.6,3.2,1.1,5.2,0.413,0.8,0.4,310
77,4.8,0.7,4.1,6.4,0.556,1.8,1.2,311
74,4.8,0.6,3,8.6,0.46,1.8,0.9,312
19,6.2,0.7,3,8.4,0.519,2.2,1.9,313
68,15.2,1.2,7.5,25.4,0.518,5.5,2.1,314
73,7.7,1,4.4,13.6,0.48,3,1.2,315
52,7.9,2.8,2.5,14.6,0.42,2.8,1.8,316
4,2,0,2.5,3.6,0.571,1,0,317
63,12.7,2.7,3.1,22.2,0.516,4.5,1.3,318
61,7.5,0.9,3,11.4,0.572,2.7,1.1,319
77,18.9,2,6.1,31.4,0.494,7,3.4,31
3,2.7,0,0.7,4.6,0.429,0.7,0.7,320
57,4,1.4,1.4,7.8,0.451,1.6,0.5,321
81,21.4,3.4,4,37.2,0.506,8.2,2.6,322
76,6.3,4,3,11,0.531,2.8,0.4,323
4,0,0,0.3,1,0,0,0,324
19,2.4,0.2,1.3,4.4,0.44,0.9,0.5,325
26,9,1.1,2.5,13.8,0.586,3.3,0.9,326
65,4.8,0.5,2.6,6.8,0.621,2.1,0.6,327
18,5.1,0.9,1.8,8.2,0.596,2,0.2,328
1,0,0,0,0,0,0,0,329
81,15.7,4.1,5,25.4,0.528,5.7,2.2,32
14,1.5,0.1,0.5,2.2,0.633,0.6,0.1,330
56,7.5,0.9,2.5,13.4,0.495,2.8,0.9,331
2,0,0,0,1,0,0,0,332
77,6.3,0.9,1.6,10.2,0.491,2,1.3,333
61,3.5,0.6,4,4.4,0.642,1.4,0.6,334
23,4,0.4,3.5,7.2,0.488,1.7,0.6,335
82,20.1,4,5.2,31,0.524,7.2,3.9,336
70,10,0.8,2.2,17.2,0.516,3.2,1.2,337
82,7.8,1.4,2,11.8,0.594,2.6,0.7,338
15,2.5,0.2,1,3.8,0.607,0.9,0.3,339
64,11.6,5.5,4.8,20.4,0.486,4.2,1.7,33
82,10,2.8,1.9,16.6,0.523,3.4,1.3,340
38,14.6,2.8,6.4,22.8,0.509,5.3,2.9,341
25,16.8,1.6,6.4,24.2,0.588,5.7,2.6,342
79,20.5,3.7,3.7,34.4,0.506,7.5,3,343
1,3,0,0,2,1.5,1,0,344
63,6.7,1.4,1,13.4,0.458,2.4,0.5,345
26,10.2,2.3,6.3,15.2,0.53,4,2.1,346
2,0,0,1,1,0,0,0,347
2,0,0.5,0.5,0,0,0,0,348
82,12.5,2.3,2.9,20.2,0.585,5.2,0.6,349
39,7.9,1.4,2.1,13.4,0.519,2.8,0.9,34
67,2.1,1.2,4.1,3.6,0.541,1,0.2,350
6,4.7,1.2,2.7,10.6,0.438,2.2,0,351
54,13.6,1.3,5.4,22.6,0.499,4.9,2.3,352
73,11.5,1.9,5.6,18.8,0.536,4.5,1.4,353
3,3.3,2.3,0.7,4,0.667,1.3,0.7,354
11,8.7,0.6,4.5,13.6,0.54,3.6,1.4,355
31,4.2,0.4,3.2,6,0.581,1.7,0.7,356
42,8.5,2.9,2.2,15.4,0.46,3.1,1.5,357
11,8.5,0.6,2.8,12.2,0.575,3.4,1.5,358
6,0.5,0.7,0.2,2,0.167,0.2,0.2,359
81,6,1.1,5.4,11,0.474,2.6,0.7,35
81,8.1,2.9,5.7,15,0.451,3.3,1.3,360
81,16.7,3.4,3.7,26.2,0.529,5.9,2.8,361
53,7.6,1,4.3,11.8,0.558,2.7,1.1,362
48,3,0.5,1.5,6.2,0.413,1,0.5,363
24,8.9,1,7,13.4,0.553,3.7,1.5,364
74,8.7,2,2.3,14.4,0.497,3,1.6,365
7,3.7,3.3,1.1,11.2,0.295,1.6,0.4,366
41,4.5,1.8,1.2,7.4,0.52,1.7,0.6,367
9,1,0.3,1,2.4,0.364,0.4,0.1,368
7,1.7,0.6,2,2.8,0.5,0.7,0.3,369
65,12.9,3.5,3.8,20.8,0.5,4.4,2.5,36
30,4.4,0.7,5.6,7,0.524,1.8,0.7,370
49,2.5,0.4,1.8,3.2,0.644,1,0.4,371
77,12,1.6,5.7,19.6,0.547,4.5,1.3,372
78,5.9,3.2,2.3,12.8,0.414,2.3,0.6,373
